variant_id,statistical_role,overall_class_macro_f1,id_class_macro_f1,ood_class_macro_f1,validation_fitted_row_event_f1,validation_fitted_row_event_recall,validation_fitted_row_false_alarm_onsets_per_negative_hour,validation_fitted_row_unsafe_forward_l_before_detection,ood_auroc,ood_aupr,ood_fpr95,conformal_coverage,conformal_mean_prediction_set_size,conformal_singleton_fraction,parameter_count,training_wall_time_s_descriptive_only,test_inference_rows_per_s_descriptive_only,timing_comparable_across_variants
flowtwin_hybrid_v03_dev,descriptive_pooled_not_inferential,0.5621760346327167,0.6812895159825623,0.5318798170844197,0.034519725557461405,0.9252873563218391,186.51060473996597,414.3655090332031,0.5526791524919982,0.6192210687448487,0.9174907407407408,0.9996415343915344,12.599845238095238,0.0,58315,1052.5488785830094,9482.443944894245,False
flowtwin_guard,descriptive_pooled_not_inferential,0.4249081315386488,0.5556648474039066,0.3769821198595593,0.026864057886638665,0.9281609195402298,245.82520510798435,0.0,0.7677311580754173,0.8575046772663224,0.9361759259259259,0.9995595238095238,15.48071164021164,0.0,42508,968.5415182499855,12539.154380324931,False
tcn,descriptive_pooled_not_inferential,0.583129385412245,0.6407258576551894,0.5488974370058258,0.02222144822541883,0.9166666666666666,285.3055520967363,56.30939483642578,0.454513803405064,0.5574996779609553,0.981429012345679,0.9995277777777778,13.22493783068783,0.0,15379,34.42822050000541,78365.29950404992,False
dspr_diagnostic_adaptation,descriptive_pooled_not_inferential,0.5939938019731963,0.6112493988921773,0.5864218071185793,0.31215161649944256,0.8045977011494253,5.235268888612183,4081.4904923439026,0.5747477169745941,0.7078450060093275,0.9387006172839506,1.0,15.063223544973544,0.0,54166,595.7918851670111,6264.8707358124475,False
